summary_header_panel1,isKept
Avg Nucleus Area (μm²),1
Avg Nucleus Perimeter (μm),1
Avg Nucleus Roundness,1
Area Analyzed (μm²),1
Glass: Total Cells,1
Glass: Opal 480 Positive Cells,1
Glass: Opal 520 Positive Cells,1
Glass: Opal 570 Positive Cells,1
Glass: Opal 620 Positive Cells,1
Glass: Opal 690 Positive Cells,1
Glass: Opal 780 Positive Cells,1
Glass: Negative Cells,1
Glass: Opal 480 Positive Nuclei,1
Glass: Opal 520 Positive Nuclei,1
Glass: Opal 570 Positive Nuclei,1
Glass: Opal 620 Positive Nuclei,1
Glass: Opal 690 Positive Nuclei,1
Glass: Opal 780 Positive Nuclei,1
Glass: Negative Nuclei,1
Glass: CD3 Cells,0
Glass: CD3 PD1 Cells,0
Glass: CD8 Cells,0
Glass: CD8 PD1 Cells,0
Glass: CD68 Cells,0
Glass: CD68 PDL1 Cells,0
Glass: Tumor Cells,0
Glass: Tumor PDL1 Cells,0
Glass: % Opal 480 Positive Cells,1
Glass: % Opal 520 Positive Cells,1
Glass: % Opal 570 Positive Cells,1
Glass: % Opal 620 Positive Cells,1
Glass: % Opal 690 Positive Cells,1
Glass: % Opal 780 Positive Cells,1
Glass: % Opal 480 Positive Nuclei,1
Glass: % Opal 520 Positive Nuclei,1
Glass: % Opal 570 Positive Nuclei,1
Glass: % Opal 620 Positive Nuclei,1
Glass: % Opal 690 Positive Nuclei,1
Glass: % Opal 780 Positive Nuclei,1
Glass: % CD3 Positive Cells,0
Glass: % CD3 PD1 Positive Cells,0
Glass: % CD8 Positive Cells,0
Glass: % CD8 PD1 Positive Cells,0
Glass: % CD68 Positive Cells,0
Glass: % CD68 PDL1 Positive Cells,0
Glass: % Tumor Positive Cells,0
Glass: % Tumor PDL1 Positive Cells,0
Glass: Opal 480 Avg Positive Nuclei Intensity,1
Glass: Opal 520 Avg Positive Nuclei Intensity,1
Glass: Opal 570 Avg Positive Nuclei Intensity,1
Glass: Opal 620 Avg Positive Nuclei Intensity,1
Glass: Opal 690 Avg Positive Nuclei Intensity,1
Glass: Opal 780 Avg Positive Nuclei Intensity,1
Glass: Opal 480 Avg Cell Intensity,1
Glass: Opal 520 Avg Cell Intensity,1
Glass: Opal 570 Avg Cell Intensity,1
Glass: Opal 620 Avg Cell Intensity,1
Glass: Opal 690 Avg Cell Intensity,1
Glass: Opal 780 Avg Cell Intensity,1
Glass: DAPI Avg Cell Intensity,1
Glass: Avg Cell Area (μm²),1
Glass: Avg Nucleus Area (μm²),1
Glass: Avg Nucleus Perimeter (μm),1
Glass: Avg Nucleus Roundness,1
Glass: Area Analyzed (μm²),1
Tissue: Total Cells,1
Tissue: Opal 480 Positive Cells,1
Tissue: Opal 520 Positive Cells,1
Tissue: Opal 570 Positive Cells,1
Tissue: Opal 620 Positive Cells,1
Tissue: Opal 690 Positive Cells,1
Tissue: Opal 780 Positive Cells,1
Tissue: Negative Cells,1
Tissue: Opal 480 Positive Nuclei,1
Tissue: Opal 520 Positive Nuclei,1
Tissue: Opal 570 Positive Nuclei,1
Tissue: Opal 620 Positive Nuclei,1
Tissue: Opal 690 Positive Nuclei,1
Tissue: Opal 780 Positive Nuclei,1
Tissue: Negative Nuclei,1
Tissue: CD3 Cells,0
Tissue: CD3 PD1 Cells,0
Tissue: CD8 Cells,0
Tissue: CD8 PD1 Cells,0
Tissue: CD68 Cells,0
Tissue: CD68 PDL1 Cells,0
Tissue: Tumor Cells,0
Tissue: Tumor PDL1 Cells,0
Tissue: % Opal 480 Positive Cells,1
Tissue: % Opal 520 Positive Cells,1
Tissue: % Opal 570 Positive Cells,1
Tissue: % Opal 620 Positive Cells,1
Tissue: % Opal 690 Positive Cells,1
Tissue: % Opal 780 Positive Cells,1
Tissue: % Opal 480 Positive Nuclei,1
Tissue: % Opal 520 Positive Nuclei,1
Tissue: % Opal 570 Positive Nuclei,1
Tissue: % Opal 620 Positive Nuclei,1
Tissue: % Opal 690 Positive Nuclei,1
Tissue: % Opal 780 Positive Nuclei,1
Tissue: % CD3 Positive Cells,0
Tissue: % CD3 PD1 Positive Cells,0
Tissue: % CD8 Positive Cells,0
Tissue: % CD8 PD1 Positive Cells,0
Tissue: % CD68 Positive Cells,0
Tissue: % CD68 PDL1 Positive Cells,0
Tissue: % Tumor Positive Cells,0
Tissue: % Tumor PDL1 Positive Cells,0
Tissue: Opal 480 Avg Positive Nuclei Intensity,1
Tissue: Opal 520 Avg Positive Nuclei Intensity,1
Tissue: Opal 570 Avg Positive Nuclei Intensity,1
Tissue: Opal 620 Avg Positive Nuclei Intensity,1
Tissue: Opal 690 Avg Positive Nuclei Intensity,1
Tissue: Opal 780 Avg Positive Nuclei Intensity,1
Tissue: Opal 480 Avg Cell Intensity,1
Tissue: Opal 520 Avg Cell Intensity,1
Tissue: Opal 570 Avg Cell Intensity,1
Tissue: Opal 620 Avg Cell Intensity,1
Tissue: Opal 690 Avg Cell Intensity,1
Tissue: Opal 780 Avg Cell Intensity,1
Tissue: DAPI Avg Cell Intensity,1
Tissue: Avg Cell Area (μm²),1
Tissue: Avg Nucleus Area (μm²),1
Tissue: Avg Nucleus Perimeter (μm),1
Tissue: Avg Nucleus Roundness,1
Tissue: Area Analyzed (μm²),1
